Grade,G2,G1,failures,schoolsup_yes,absences,Medu
6,6,5,0,1,6,4
6,5,5,0,0,4,1
10,8,7,3,1,10,1
15,14,15,0,0,2,4
10,10,6,0,0,4,3
15,15,15,0,0,10,4
11,12,12,0,0,0,2
6,5,6,0,1,6,4
19,18,16,0,0,0,3
15,15,14,0,0,0,3
9,8,10,0,0,0,4
12,12,10,0,0,4,2
14,14,14,0,0,2,4
11,10,10,0,0,2,4
16,16,14,0,0,0,2
14,14,14,0,0,4,4
14,14,13,0,0,6,4
10,10,8,0,1,4,3
5,5,6,3,0,16,3
10,10,8,0,0,4,4
15,14,13,0,0,0,4
15,15,12,0,0,0,4
16,15,15,0,0,2,4
12,13,13,0,0,0,2
8,9,10,0,1,2,2
8,9,6,2,0,14,2
11,12,12,0,0,2,2
15,16,15,0,0,4,4
11,11,11,0,1,4,3
11,12,10,0,0,16,4
12,11,9,0,0,0,4
17,16,17,0,0,0,4
16,16,17,0,0,0,4
12,10,8,0,0,0,3
15,14,12,0,0,0,3
6,7,8,0,0,0,2
18,16,15,0,0,2,4
15,16,15,0,0,7,4
11,12,12,0,1,2,3
13,13,14,0,1,8,2
11,10,7,1,0,25,2
12,12,12,0,0,8,4
18,18,19,0,0,2,4
11,8,8,0,1,0,2
9,10,10,1,1,14,2
6,8,8,0,1,8,4
11,12,11,0,0,12,3
20,19,19,0,0,4,4
14,15,15,0,0,2,4
7,7,7,1,1,2,4
13,13,12,0,0,2,2
13,13,11,0,0,2,4
10,11,11,1,0,6,4
11,10,8,0,1,0,4
13,13,10,0,0,6,3
10,9,8,0,0,8,2
15,15,14,0,0,0,4
15,15,14,0,0,4,4
9,10,9,0,1,2,1
16,16,15,0,0,2,4
11,11,10,0,0,6,4
11,8,10,0,1,6,1
9,10,8,0,1,4,1
9,9,10,0,1,2,4
10,10,10,0,1,0,4
15,15,16,0,0,2,4
12,13,13,0,0,4,4
6,7,7,0,1,4,3
8,9,8,0,1,2,2
16,16,16,0,0,12,3
15,15,13,0,0,0,3
10,10,10,0,0,0,4
5,6,8,2,1,2,1
14,12,12,0,0,2,3
11,12,11,0,1,54,3
10,9,9,0,0,6,4
10,11,11,0,0,8,4
11,11,11,0,0,0,2
10,8,8,3,1,2,2
5,5,5,0,0,12,3
12,12,10,0,1,2,2
11,10,11,0,1,4,2
6,6,7,0,0,10,3
15,15,15,0,0,4,2
10,10,9,0,0,2,1
8,9,7,2,0,6,4
6,7,8,0,0,4,2
14,14,13,0,0,4,4
10,10,11,1,0,12,2
7,6,8,0,0,18,4
8,7,7,0,0,0,3
18,17,16,0,0,4,4
6,6,7,0,1,4,3
10,10,11,0,0,0,4
14,13,11,0,0,6,2
10,10,7,1,1,2,1
15,15,11,0,1,2,4
10,9,8,0,0,2,2
14,14,11,0,0,6,4
8,9,7,0,1,0,4
5,7,7,0,1,14,4
17,17,16,0,0,0,4
14,13,10,0,0,4,4
6,6,7,0,1,26,3
18,18,16,0,0,0,3
11,11,10,0,1,10,3
8,8,7,0,1,8,2
18,18,16,0,0,2,3
13,13,10,0,0,6,4
16,15,14,0,0,4,4
19,19,18,0,0,6,4
10,10,7,1,1,0,3
13,13,10,1,1,6,2
19,19,18,0,0,10,4
9,9,9,0,0,8,2
16,15,15,0,0,2,4
14,13,11,0,0,2,4
13,14,13,0,0,0,3
8,7,9,1,0,20,1
13,13,14,0,0,6,3
15,15,16,0,0,2,1
15,14,16,0,0,6,2
13,13,13,0,0,2,2
13,11,14,0,0,18,4
8,7,8,0,0,0,2
12,13,13,0,1,0,3
11,10,7,0,1,0,3
9,8,7,3,0,2,0
18,18,18,0,0,8,4
12,13,10,0,0,12,2
11,11,12,0,0,16,3
12,12,14,1,0,0,1
15,16,16,0,0,0,4
9,9,9,2,0,8,2
11,11,9,0,0,2,4
13,14,14,0,0,2,1
11,11,8,0,0,0,1
11,11,10,0,0,2,1
10,9,8,3,0,0,2
14,13,12,1,0,6,2
10,10,10,2,0,8,3
12,11,11,0,1,0,4
8,8,11,0,1,2,2
13,12,16,0,0,8,1
10,8,9,3,0,6,1
15,15,17,0,0,2,2
12,12,10,1,0,4,3
7,9,5,2,1,6,3
10,10,10,0,0,2,1
7,8,5,3,0,0,1
12,11,12,1,0,16,3
10,10,10,0,0,4,2
16,15,14,0,0,0,4
14,14,14,0,0,0,4
16,15,13,0,0,2,1
10,11,13,0,0,0,4
9,11,10,0,0,4,3
9,9,10,0,0,4,4
11,13,13,0,0,2,2
6,5,6,0,0,4,3
9,8,10,0,0,10,4
11,10,10,0,0,4,4
8,8,9,0,0,10,4
12,13,12,0,0,2,3
17,17,16,0,0,0,2
8,9,9,0,0,56,3
12,13,12,0,0,14,3
11,12,12,0,0,12,3
11,12,11,0,0,2,1
15,15,15,0,0,0,2
9,7,8,0,0,6,3
10,9,8,0,0,4,1
13,12,11,0,0,10,2
9,8,8,0,0,0,1
8,8,7,0,0,12,1
10,9,8,0,0,8,3
14,14,13,0,0,0,2
15,15,14,0,0,0,2
16,15,17,0,0,4,4
10,9,9,0,0,8,3
18,18,18,1,0,24,4
10,9,9,0,0,0,4
16,16,16,0,0,2,4
10,10,8,0,1,6,2
10,9,9,0,0,4,1
6,6,7,0,0,18,2
11,10,10,0,0,6,2
9,9,10,1,0,28,3
7,7,7,3,0,5,3
13,12,11,0,0,10,4
10,9,9,0,0,6,1
7,7,7,0,0,6,4
8,8,8,0,0,10,3
13,12,12,0,0,13,4
14,13,12,0,1,0,2
8,7,6,1,0,15,2
10,10,8,0,0,12,4
15,15,14,0,0,2,3
4,6,6,2,0,22,4
8,6,6,1,0,13,3
8,7,7,0,0,3,2
10,10,9,0,0,4,2
6,6,6,0,0,2,2
17,16,16,0,1,2,2
13,13,12,0,0,0,2
14,13,13,0,0,0,4
7,8,9,1,0,16,3
15,15,16,0,0,10,3
12,11,12,0,0,2,2
9,8,10,0,1,14,2
12,10,12,0,0,10,2
14,13,13,0,0,14,4
11,11,11,0,0,4,2
9,9,11,0,1,14,4
13,13,14,0,0,2,4
6,7,9,0,0,18,1
10,9,11,0,0,10,3
13,13,14,0,0,4,2
12,12,13,0,0,20,2
